Availability,ResourceName
7.0,DSU_401400
6.0,DSU_401870
5.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
3.0,DSU_403560
7.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
4.167,DSU_403760
1.0,DSU_503460
7.05,DSU_401400
6.0,DSU_401870
5.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
3.0,DSU_403560
7.0,DSU_403630
2.0,DSU_403640
1.0,DSU_403730
3.0,DSU_403760
1.0,DSU_503460
7.183,DSU_401400
6.0,DSU_401870
5.05,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
2.583,DSU_403520
3.0,DSU_403560
7.017,DSU_403630
2.25,DSU_403640
1.0,DSU_403730
3.367,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
3.0,DSU_403560
8.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
3.0,DSU_403560
8.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
3.0,DSU_403560
8.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
3.25,DSU_403520
3.0,DSU_403560
8.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
3.0,DSU_403560
8.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
3.117,DSU_403560
8.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
3.817,DSU_403560
7.783,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.85,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
1.75,DSU_403520
3.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.85,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
3.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
3.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
1.0,DSU_503460
7.883,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
3.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
1.0,DSU_503460
8.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
1.167,DSU_403560
7.317,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
1.0,DSU_503460
8.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
1.0,DSU_403560
8.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.967,DSU_403760
1.0,DSU_503460
8.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
1.0,DSU_403560
7.383,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.3,DSU_403760
1.0,DSU_503460
8.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.25,DSU_403760
1.0,DSU_503460
8.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.017,DSU_403760
1.0,DSU_503460
8.0,DSU_401400
6.033,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
0.0,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
5.0,DSU_403760
1.0,DSU_503460
8.0,DSU_401400
8.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
1.417,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.517,DSU_403760
1.0,DSU_503460
7.017,DSU_401400
8.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
7.317,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
8.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
7.783,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
8.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
7.517,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
7.983,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
4.65,DSU_403520
1.0,DSU_403560
8.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
7.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
4.95,DSU_403520
1.0,DSU_403560
7.25,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
7.65,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
8.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
6.95,DSU_401400
7.15,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
6.0,DSU_401400
7.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
6.05,DSU_401400
7.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
7.283,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
7.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
5.0,DSU_403520
1.0,DSU_403560
7.55,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
7.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
4.8,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.0,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.983,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
1.25,DSU_403520
1.0,DSU_403560
7.0,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.65,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
6.0,DSU_401870
6.0,DSU_402090
1.0,DSU_402100
1.0,DSU_402120
4.417,DSU_403520
1.0,DSU_403560
7.15,DSU_403630
3.0,DSU_403640
1.0,DSU_403730
4.983,DSU_403760
1.0,DSU_503460
7.0,DSU_401400
