Name,Over Forecast,Under Forecast,Overall,Percentage Over,Percentage Under
EE1,163.151,0.0,163.151,100.0,0.0
EE2,47.20099999999999,0.0,47.20099999999999,100.0,0.0
EE3,0.0,0.0,0.0,50.0,50.0
EE4,0.0,0.0,0.0,50.0,50.0
EE5,139.95,0.0,139.95,100.0,0.0
EE6,166.117,-3.667,169.784,97.8401969561325,-2.159803043867502
EE7,4.633,-6.118,10.751000000000001,43.09366570551576,-56.90633429448423
EE8,0.0,-77.23299999999999,77.23299999999999,0.0,100.0
EE9,0.0,-38.1,38.1,0.0,100.0
VN1,0.0,-48.0,48.0,0.0,100.0
VS1,0.0,-12.0,12.0,0.0,100.0
VS2,13.015,-1.2170000000000005,14.232000000000001,91.44884766722878,-8.551152332771222
